english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL
kill,English,1,false,tip,false,false,true,false,right,false,false,false,false,0,neck,torso,false true,Or_Change,false true,Or,0,BSL,WestEuro,BSL
laugh,English,L_nb,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,chin,head,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
leaf,English,L_b,false,tip,false,true,false,false,right,false,false,false,false,0,tip,hand,X_right,X_right,X_right true false,X_right_Hs,0,BSL,WestEuro,BSL
lie,English,1,false,radial_side,false,false,false,false,right,false,false,false,false,0,chin,head,X_right,X_right,X_right false false,X_right,0,BSL,WestEuro,BSL
live,English,M_enb,false,tip,true,false,false,false,right,false,false,false,false,0,Torso_top,torso,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
long,English,E,true,tip,false,true,false,false,right,false,false,false,false,1,top,head,Y_down,Y_down,Y_down true false,Y_down_Hs,0,BSL,WestEuro,BSL
look_for,English,V,true,ulnar_side,false,false,true,false,right,false,false,false,false,1,Vertical,Vertical,Z_front,Z_front,Z_front false true,Z_front_Or,0,BSL,WestEuro,BSL
man,English,5_b,false,radial_side,false,true,false,false,right,false,false,false,false,0,chin,head,Y_up,Y_up,Y_up true false,Y_up_Hs,0,BSL,WestEuro,BSL
meat,English,S_b,false,heel,false,false,false,false,right,false,false,false,false,0,forehead,head,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
moon,English,L_b,false,tip,false,true,false,false,right,false,false,false,false,0,Vertical,Vertical,Y_down,Y_down,Y_down true false,Y_down_Hs,0,BSL,WestEuro,BSL
mother,English,6,false,finger_fronts,true,false,true,false,right,false,false,false,false,0,palm,hand,false true,Or_Change,false true,Or,0,BSL,WestEuro,BSL
mountain,English,B_b,true,tip,false,true,false,false,right,false,false,false,false,1,Lateral,Lateral,Y_up,Y_up,Y_up true false,Y_up_Hs,0,BSL,WestEuro,BSL
name,English,H,false,finger_fronts,false,false,true,false,right,false,false,false,false,0,forehead,head,Z_front,Z_front,Z_front false true,Z_front_Or,0,BSL,WestEuro,BSL
narrow,English,H,true,finger_fronts,false,false,true,false,right,false,false,false,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false true,Z_front_Or,0,BSL,WestEuro,BSL
new,English,E,false,back_of_palm,false,false,false,false,right,false,false,false,false,0,palm,hand,Y_up,Y_up,Y_up false false,Y_up,0,BSL,WestEuro,BSL
night,English,E,false,back_of_palm,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
not,English,E,true,palm,false,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0,BSL,WestEuro,BSL
old,English,V_nb,false,tip,false,false,false,false,right,false,false,false,false,0,eye,head,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
