english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL
husband,Lithuanian,L_enb,false,tip,true,false,false,false,right,false,false,false,false,0,back_of_fingers,hand,X_left,X_left,X_left false false,X_left,0,RSL,EastEuro,LitSL
ice,Lithuanian,E_b,false,radial_side,false,false,false,false,right,false,false,false,false,0,ulnar_side,hand,Z_front,Z_front,Z_front false false,Z_front,0,RSL,EastEuro,LitSL
if,Lithuanian,A,false,radial_side,true,false,true,false,right,false,false,false,false,0,chin,head,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
kill,Lithuanian,H,false,tip,false,false,true,false,right,false,false,false,false,0,palm,hand,Y_up,Y_up,Y_up false true,Y_up_Or,0,RSL,EastEuro,LitSL
laugh,Lithuanian,V_nb,false,tip,true,false,true,false,right,false,false,false,false,0,chin,head,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
leaf,Lithuanian,L_b,false,tip,false,true,true,false,left,false,false,false,false,0,tip,hand,Y_down,Y_down,Y_down true true,Y_down_Hs_Or,0,RSL,EastEuro,LitSL
lie,Lithuanian,1,false,finger_fronts,true,false,true,false,right,false,false,false,false,0,cheek,head,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
live,Lithuanian,B_nb,false,ulnar_side,true,false,false,false,right,false,false,false,false,0,waist,torso,Z_back,Z_back,Z_back false false,Z_back,0,RSL,EastEuro,LitSL
long,Lithuanian,1,true,finger_fronts,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0,RSL,EastEuro,LitSL
look_for,Lithuanian,V_nb,true,tip,true,false,false,false,right,false,false,false,false,1,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0,RSL,EastEuro,LitSL
man,Lithuanian,B,false,radial_side,true,false,false,false,right,false,false,false,false,0,top,head,Z_back,Z_back,Z_back false false,Z_back,0,RSL,EastEuro,LitSL
meat,Lithuanian,1,false,tip,true,false,false,false,right,false,false,false,false,0,neck,torso,Z_back,Z_back,Z_back false false,Z_back,0,RSL,EastEuro,LitSL
moon,Lithuanian,L_b,false,tip,false,true,false,false,right,false,false,false,false,0,Vertical,Vertical,Y_down,Y_down,Y_down true false,Y_down_Hs,0,RSL,EastEuro,LitSL
mother,Lithuanian,E,false,ulnar_side,false,false,false,false,right,false,false,false,false,0,mouth,head,X_right,X_right,X_right false false,X_right,0,RSL,EastEuro,LitSL
mountain,Lithuanian,5,true,palm,true,true,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down true false,Y_down_Hs,0,RSL,EastEuro,LitSL
name,Lithuanian,A,false,tip,false,false,false,false,right,false,false,false,false,0,forehead,head,X_right,X_right,X_right false false,X_right,0,RSL,EastEuro,LitSL
narrow,Lithuanian,E,true,palm,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0,RSL,EastEuro,LitSL
new,Lithuanian,E,false,back_of_palm,false,false,false,false,right,false,false,false,false,0,palm,hand,Y_up,Y_up,Y_up false false,Y_up,0,RSL,EastEuro,LitSL
night,Lithuanian,5,true,palm,false,true,false,false,right,false,false,false,false,1,forehead,head,Y_down,Y_down,Y_down true false,Y_down_Hs,0,RSL,EastEuro,LitSL
not,Lithuanian,B,false,palm,false,false,true,false,right,false,false,false,false,0,Vertical,Vertical,X_right,X_right,X_right false true,X_right_Or,0,RSL,EastEuro,LitSL
old,Lithuanian,S_b,false,heel,false,false,false,false,right,false,false,false,false,0,cheek,head,Y_down,Y_down,Y_down false false,Y_down,0,RSL,EastEuro,LitSL
other,Lithuanian,1,false,back_of_fingers,false,false,true,false,right,false,false,false,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false true,Z_front_Or,0,RSL,EastEuro,LitSL
person,Lithuanian,L_nb,false,tip,false,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,RSL,EastEuro,LitSL
pig,Lithuanian,1,false,tip,true,false,false,false,right,false,false,false,false,0,neck,torso,Z_back,Z_back,Z_back false false,Z_back,0,RSL,EastEuro,LitSL
play,Lithuanian,E_b,true,tip,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0,RSL,EastEuro,LitSL
rain,Lithuanian,1_nb,true,tip,true,false,true,false,right,false,false,false,false,1,Horizontal,Horizontal,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
red,Lithuanian,1,false,tip,true,true,false,false,right,false,false,false,false,0,mouth,head,true false,Hs_Change,true false,Hs,0,RSL,EastEuro,LitSL
river,Lithuanian,L_nb,false,finger_fronts,false,false,true,false,right,false,false,false,false,0,Horizontal,Horizontal,X_left,X_left,X_left false true,X_left_Or,0,RSL,EastEuro,LitSL
salt,Lithuanian,E_b,false,tip,false,true,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front true false,Z_front_Hs,0,RSL,EastEuro,LitSL
sea,Lithuanian,Y,false,ulnar_side,true,false,false,false,right,false,false,false,false,0,Lateral,Lateral,Y_down,Y_down,Y_down false false,Y_down,0,RSL,EastEuro,LitSL
sharp,Lithuanian,B_b,false,ulnar_side,false,false,false,false,right,false,false,false,false,0,cheek,head,Y_down,Y_down,Y_down false false,Y_down,0,RSL,EastEuro,LitSL
short,Lithuanian,E,true,ulnar_side,false,false,true,false,right,false,false,false,false,1,Lateral,Lateral,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
singing,Lithuanian,1,true,radial_side,true,false,true,false,right,false,false,false,false,1,Lateral,Lateral,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
sister,Lithuanian,1,false,radial_side,true,false,false,false,right,false,false,false,false,0,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0,RSL,EastEuro,LitSL
sit,Lithuanian,V_nb,false,finger_fronts,false,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,RSL,EastEuro,LitSL
smooth,Lithuanian,B_b,false,radial_side,false,false,false,false,right,true,false,false,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front false false,Z_front,1,RSL,EastEuro,LitSL
snake,Lithuanian,V,false,back_of_palm,true,false,false,false,right,false,false,false,false,0,mouth,head,Z_front,Z_front,Z_front false false,Z_front,0,RSL,EastEuro,LitSL
snow,Lithuanian,S_b,true,heel,true,true,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down true false,Y_down_Hs,0,RSL,EastEuro,LitSL
stand,Lithuanian,E,false,radial_side,false,false,false,false,right,false,false,false,false,0,clavicle,torso,Y_down,Y_down,Y_down false false,Y_down,0,RSL,EastEuro,LitSL
star,Lithuanian,1,true,tip,false,false,false,false,right,false,false,false,false,1,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0,RSL,EastEuro,LitSL
stone,Lithuanian,S_b,true,heel,false,false,true,false,right,false,false,false,false,1,Lateral,Lateral,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
string,Lithuanian,I,true,tip,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0,RSL,EastEuro,LitSL
sun,Lithuanian,S,false,heel,false,true,false,false,right,false,false,false,false,0,Lateral,Lateral,X_left,X_left,X_left true false,X_left_Hs,0,RSL,EastEuro,LitSL
tail,Lithuanian,1,false,heel,true,false,true,false,right,false,false,false,false,0,radial_side,hand,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
thin,Lithuanian,I,false,back_of_fingers,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false false,Y_down,0,RSL,EastEuro,LitSL
tree,Lithuanian,5,false,palm,true,false,true,false,right,false,false,false,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
vomit,Lithuanian,3,false,radial_side,false,false,true,false,right,false,false,false,false,0,mouth,head,Z_front,Z_front,Z_front false true,Z_front_Or,0,RSL,EastEuro,LitSL
warm,Lithuanian,B_nb,false,tip,false,false,false,false,right,false,false,false,false,0,mouth,head,X_right,X_right,X_right false false,X_right,0,RSL,EastEuro,LitSL
water,Lithuanian,5_nb,false,radial_side,true,false,true,false,right,false,false,false,false,0,mouth,head,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
wet,Lithuanian,E_b,true,back_of_palm,true,true,false,false,right,false,false,false,false,1,Horizontal,Horizontal,X_right,X_right,X_right true false,X_right_Hs,0,RSL,EastEuro,LitSL
what,Lithuanian,V,false,ulnar_side,true,false,true,false,right,false,false,false,false,0,Horizontal,Horizontal,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
when,Lithuanian,5_b,false,back_of_fingers,true,false,true,false,right,false,false,false,false,0,cheek,head,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
where,Lithuanian,Y,false,heel,true,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front false false,Z_front,0,RSL,EastEuro,LitSL
white,Lithuanian,B_nb,false,tip,true,false,true,false,right,false,false,false,false,0,Torso_top,torso,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
who,Lithuanian,V,false,ulnar_side,true,false,true,false,right,false,false,false,false,0,Vertical,Vertical,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
wide,Lithuanian,E,true,palm,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0,RSL,EastEuro,LitSL
wife,Lithuanian,L_enb,false,tip,true,false,false,false,right,false,false,false,false,0,back_of_fingers,hand,X_left,X_left,X_left false false,X_left,0,RSL,EastEuro,LitSL
wind,Lithuanian,E_bnb,false,radial_side,false,true,false,false,right,true,true,false,false,0,nose,head,Y_up,Y_up,Y_up true false,Y_up_Hs,0,RSL,EastEuro,LitSL
with,Lithuanian,5,true,finger_fronts,false,true,false,false,right,false,false,false,false,1,Lateral,Lateral,X_left,X_left,X_left true false,X_left_Hs,0,RSL,EastEuro,LitSL
woman,Lithuanian,B,false,radial_side,true,false,false,false,right,false,false,false,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0,RSL,EastEuro,LitSL
wood,Lithuanian,4,false,radial_side,true,false,false,false,right,false,false,false,false,0,elbow_back,arm,Z_back,Z_back,Z_back false false,Z_back,0,RSL,EastEuro,LitSL
work,Lithuanian,U_b,false,radial_side,true,false,false,false,right,false,false,false,false,0,Torso_top,torso,Y_down,Y_down,Y_down false false,Y_down,0,RSL,EastEuro,LitSL
