english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,annotator,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL,,
husband,German,I,false,ulnar_side,false,false,false,false,right,false,false,true,false,carlo,0,back_of_fingers,hand,X_left,X_left,X_left,false,false,X_left,1,DGS,WestEuro,DGS
ice,German,S,false,radial_side,true,false,true,false,right,false,false,false,false,carlo,0,mouth,head,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,DGS,WestEuro,DGS
if,German,1,false,tip,false,false,false,false,right,false,false,false,false,carlo,0,nose,head,Z_back,Z_back,Z_back,false,false,Z_back,0,DGS,WestEuro,DGS
kill,German,1_nb,false,tip,false,false,false,false,right,false,false,false,false,Annotator,0,Vertical,Vertical,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
laugh,German,L,false,finger_fronts,true,false,false,false,right,false,false,false,false,carlo,0,chin,head,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
leaf,German,L_b,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,tip,hand,Z_front,Z_front,Z_front,true,false,Z_front_Hs,0,DGS,WestEuro,DGS
lie,German,1,false,finger_fronts,true,false,false,false,right,false,false,false,false,carlo,0,chin,head,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
live,German,A,true,heel,true,false,true,false,right,false,false,false,false,carlo,1,Lateral,Lateral,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
long,German,E,false,finger_fronts,false,false,false,false,right,false,false,false,false,carlo,0,back_of_fingers,hand,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
look_for,German,V_nb,false,tip,true,false,false,false,right,false,false,false,false,carlo,0,mouth,head,Z_back,Z_back,Z_back,false,false,Z_back,0,DGS,WestEuro,DGS
man,German,E,false,finger_fronts,false,true,false,false,right,false,false,false,false,carlo,0,top,head,X_right,X_right,X_right,true,false,X_right_Hs,0,DGS,WestEuro,DGS
meat,German,E_nb,false,finger_fronts,true,false,false,false,right,false,false,false,false,carlo,0,radial_side,hand,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
moon,German,L,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,Vertical,Vertical,Y_down,Y_down,Y_down,true,false,Y_down_Hs,0,DGS,WestEuro,DGS
mother,German,1,false,radial_side,true,false,false,false,right,false,false,false,false,carlo,0,cheek,head,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
mountain,German,5,false,palm,false,false,true,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,X_right,X_right,X_right,false,true,X_right_Or,0,DGS,WestEuro,DGS
name,German,1,false,tip,true,true,false,false,right,false,false,false,false,carlo,0,cheek,head,true,false,Hs_Change,true,false,Hs,0,DGS,WestEuro,DGS
narrow,German,E,true,palm,false,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
new,German,S,false,heel,false,true,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,Y_up,Y_up,Y_up,true,false,Y_up_Hs,0,DGS,WestEuro,DGS
