"X","Language","Meaning","C1","V1","C2","V2"
449,"Gavião-Pyhcopji","COVER","p","∅","r","o:"
450,"Gavião-Pyhcopji","WIFE","p","∅","r","õ"
451,"Gavião-Pyhcopji","MACAW","p","ə","n","∅"
452,"Gavião-Pyhcopji","SUN","p","ə̤","t","∅"
453,"Gavião-Pyhcopji","GO (PLURAL)","m","õ","r","∅"
454,"Gavião-Pyhcopji","SEE","p","o̤","p","o̤"
455,"Gavião-Pyhcopji","NECK","p","o̤","t","∅"
456,"Gavião-Pyhcopji","GOOD","p","e","s","∅"
457,"Gavião-Pyhcopji","HONEY","p","e","n","∅"
458,"Gavião-Pyhcopji","THROW","m","ẽ","n","∅"
459,"Gavião-Pyhcopji","WALK (SINGULAR)","p","∅","r","aː"
460,"Gavião-Pyhcopji","THROW (SINGULAR)","k","a","p","a"
461,"Gavião-Pyhcopji","WHISTLE","kʰ","ə","r","∅"
462,"Gavião-Pyhcopji","NON-INDIGENOUS","k","o̤","p","ẽ"
463,"Gavião-Pyhcopji","SCRATCH","p","i","n","∅"
464,"Gavião-Pyhcopji","BLOW","∅","aː","p","i"
465,"Gavião-Pyhcopji","MOVE UP","∅","aː","p","e̤"
466,"Gavião-Pyhcopji","KILL (SINGULAR)","p","ẽ̤","r","∅"
467,"Gavião-Pyhcopji","DIE","t","ə̤","k","∅"
468,"Gavião-Pyhcopji","GO OUT","k","a","t","o"
469,"Gavião-Pyhcopji","BE BORN","k","a","t","o"
470,"Gavião-Pyhcopji","PISS","t","o̤","r","∅"
471,"Gavião-Pyhcopji","ROTTEN","t","õ̤","m","∅"
472,"Gavião-Pyhcopji","GO (SINGULAR)","t","ẽ̤","m","∅"
473,"Gavião-Pyhcopji","BURN","c","i","t","∅"
474,"Gavião-Pyhcopji","SQUEEZE","j","a","t","i"
475,"Gavião-Pyhcopji","ALL","k","o̤","n","ẽ̤"
476,"Gavião-Pyhcopji","WING","j","a","r","aː"
477,"Gavião-Pyhcopji","IMAGE","k","a","r","õː"
478,"Gavião-Pyhcopji","SPIRIT","k","a","r","õː"
479,"Gavião-Pyhcopji","THROW (PLURAL)","r","ẽ","n","∅"
480,"Gavião-Pyhcopji","TELL","j","ãː","r","ẽ"
481,"Gavião-Pyhcopji","LOOK","r","ẽ̤","t","∅"
482,"Gavião-Pyhcopji","BASKET","kʰ","əː","h","əː"
483,"Gavião-Pyhcopji","BIG BIRD","h","ə","k","∅"
484,"Gavião-Pyhcopji","FALCON","h","ə","k","∅"
485,"Gavião-Pyhcopji","FIRE","k","o̤","h","ə̤"
486,"Gavião-Pyhcopji","PAINT","h","u","k","∅"
487,"Gavião-Pyhcopji","CHILD","j","aː","h","i"
488,"Gavião-Pyhcopji","LIE","h","i","s","∅"
489,"Gavião-Pyhcopji","BITE","c","a","r","∅"
490,"Gavião-Pyhcopji","HANG (SINGULAR)","c","u","r","∅"
491,"Gavião-Pyhcopji","ENTER (SINGULAR)","∅","aː","c","ə"
492,"Gavião-Pyhcopji","BE SEATED (SINGULAR)","j","ə̃","̤r","∅"
493,"Gavião-Pyhcopji","TOOTH","c","∅","w","aː"
494,"Gavião-Pyhcopji","PLACE LAYING DOWN (SINGULAR)","c","e̤","r","∅"
495,"Gavião-Pyhcopji","SWEET POTATO","j","ə","t","∅"
496,"Gavião-Pyhcopji","WHO","j","õ̤","m","∅"
497,"Gavião-Pyhcopji","SING (BIRDS)","kʰ","ə","r","∅"
498,"Gavião-Pyhcopji","AXE","kʰ","ə","s","∅"
499,"Gavião-Pyhcopji","KNIFE","kʰ","ə","s","∅"
500,"Gavião-Pyhcopji","DRINK","kʰ","õ","m","∅"
501,"Gavião-Pyhcopji","THIRST","kʰ","u","ɾ","∅"
502,"Gavião-Pyhcopji","EAT (PLURAL)","kʰ","ɔ̤","ɾ","∅"
503,"Gavião-Pyhcopji","STONE","kʰ","ẽ","n","∅"
504,"Gavião-Pyhcopji","HAPPY","kʰ","ɛ̤̃","n","∅"
505,"Gavião-Pyhcopji","LIKE","kʰ","ɛ̤̃","n","∅"
506,"Gavião-Pyhcopji","HEAD","kʰ","∅","ɾ","ə̃"
507,"Gavião-Pyhcopji","COLD","kʰ","∅","ɾ","ə̤"
508,"Gavião-Pyhcopji","HOLE","kʰ","∅","ɾ","ɛː"
509,"Gavião-Pyhcopji","BE SITTING (PLURAL)","kʰ","∅","ɾ","ɛ̤̃"
510,"Gavião-Pyhcopji","SNAKE","k","a","ŋ/g","ə̃"
511,"Gavião-Pyhcopji","LIQUID","k","a","k","u"
512,"Gavião-Pyhcopji","DRY","k","∅","ɾ","əː"
513,"Gavião-Pyhcopji","EGG","k","∅","ɾ","ɛ"
514,"Gavião-Pyhcopji","VAGINA","k","∅","ɾ","ɛ"
515,"Gavião-Pyhcopji","DANCE","k","∅","ɾ","ɛː"
516,"Gavião-Pyhcopji","SING","k","∅","ɾ","ɛː"
517,"Gavião-Pyhcopji","ROAST (PLURAL)","c","ə","ɾ","∅"
518,"Gavião-Pyhcopji","SLEEP","ŋ/g","õ","ɾ","∅"
NA,"AllMissing","FARM",NA,NA,NA,NA
NA,"AllMissing","FISH",NA,NA,NA,NA
NA,"AllMissing","POUR",NA,NA,NA,NA
NA,"AllMissing","PATH",NA,NA,NA,NA
NA,"AllMissing","COVER",NA,NA,NA,NA
NA,"AllMissing","WIFE",NA,NA,NA,NA
NA,"AllMissing","MACAW",NA,NA,NA,NA
NA,"AllMissing","SUN",NA,NA,NA,NA
NA,"AllMissing","GO (PLURAL)",NA,NA,NA,NA
NA,"AllMissing","SEE",NA,NA,NA,NA
NA,"AllMissing","NECK",NA,NA,NA,NA
NA,"AllMissing","GOOD",NA,NA,NA,NA
NA,"AllMissing","HONEY",NA,NA,NA,NA
NA,"AllMissing","THROW",NA,NA,NA,NA
NA,"AllMissing","WALK (SINGULAR)",NA,NA,NA,NA
NA,"AllMissing","THROW (SINGULAR)",NA,NA,NA,NA
NA,"AllMissing","WHISTLE",NA,NA,NA,NA
NA,"AllMissing","NON-INDIGENOUS",NA,NA,NA,NA
NA,"AllMissing","SCRATCH",NA,NA,NA,NA
NA,"AllMissing","BLOW",NA,NA,NA,NA
NA,"AllMissing","MOVE UP",NA,NA,NA,NA
NA,"AllMissing","KILL (SINGULAR)",NA,NA,NA,NA
NA,"AllMissing","DIE",NA,NA,NA,NA
NA,"AllMissing","GO OUT",NA,NA,NA,NA
NA,"AllMissing","BE BORN",NA,NA,NA,NA
NA,"AllMissing","PISS",NA,NA,NA,NA
NA,"AllMissing","ROTTEN",NA,NA,NA,NA
NA,"AllMissing","GO (SINGULAR)",NA,NA,NA,NA
NA,"AllMissing","BURN",NA,NA,NA,NA
NA,"AllMissing","SQUEEZE",NA,NA,NA,NA
NA,"AllMissing","ALL",NA,NA,NA,NA
NA,"AllMissing","WING",NA,NA,NA,NA
NA,"AllMissing","IMAGE",NA,NA,NA,NA
NA,"AllMissing","SPIRIT",NA,NA,NA,NA
NA,"AllMissing","THROW (PLURAL)",NA,NA,NA,NA
NA,"AllMissing","TELL",NA,NA,NA,NA
NA,"AllMissing","LOOK",NA,NA,NA,NA
NA,"AllMissing","BASKET",NA,NA,NA,NA
NA,"AllMissing","BIG BIRD",NA,NA,NA,NA
NA,"AllMissing","FALCON",NA,NA,NA,NA
NA,"AllMissing","FIRE",NA,NA,NA,NA
NA,"AllMissing","PAINT",NA,NA,NA,NA
NA,"AllMissing","CHILD",NA,NA,NA,NA
NA,"AllMissing","LIE",NA,NA,NA,NA
NA,"AllMissing","BITE",NA,NA,NA,NA
NA,"AllMissing","HANG (SINGULAR)",NA,NA,NA,NA
NA,"AllMissing","ENTER (SINGULAR)",NA,NA,NA,NA
NA,"AllMissing","BE SEATED (SINGULAR)",NA,NA,NA,NA
NA,"AllMissing","TOOTH",NA,NA,NA,NA
NA,"AllMissing","PLACE LAYING DOWN (SINGULAR)",NA,NA,NA,NA
NA,"AllMissing","SWEET POTATO",NA,NA,NA,NA
NA,"AllMissing","WHO",NA,NA,NA,NA
NA,"AllMissing","SING (BIRDS)",NA,NA,NA,NA
NA,"AllMissing","AXE",NA,NA,NA,NA
NA,"AllMissing","KNIFE",NA,NA,NA,NA
NA,"AllMissing","DRINK",NA,NA,NA,NA
NA,"AllMissing","THIRST",NA,NA,NA,NA
NA,"AllMissing","EAT (PLURAL)",NA,NA,NA,NA
NA,"AllMissing","STONE",NA,NA,NA,NA
NA,"AllMissing","HAPPY",NA,NA,NA,NA
NA,"AllMissing","LIKE",NA,NA,NA,NA
NA,"AllMissing","HEAD",NA,NA,NA,NA
NA,"AllMissing","COLD",NA,NA,NA,NA
NA,"AllMissing","HOLE",NA,NA,NA,NA
NA,"AllMissing","BE SITTING (PLURAL)",NA,NA,NA,NA
NA,"AllMissing","SNAKE",NA,NA,NA,NA
NA,"AllMissing","LIQUID",NA,NA,NA,NA
NA,"AllMissing","DRY",NA,NA,NA,NA
NA,"AllMissing","EGG",NA,NA,NA,NA
NA,"AllMissing","VAGINA",NA,NA,NA,NA
NA,"AllMissing","DANCE",NA,NA,NA,NA
NA,"AllMissing","SING",NA,NA,NA,NA
NA,"AllMissing","ROAST (PLURAL)",NA,NA,NA,NA
NA,"AllMissing","SLEEP",NA,NA,NA,NA
